import time: self [us] | cumulative | imported package
import time:       203 |        203 |           pandas._version_meson
import time:       862 |    2168004 |         pandas
import time:       422 |    2737929 |       app.fetcher.zerodha_instruments
import time:       424 |        424 |         app.config
import time:      1905 |       2328 |       app.config.strategy_loader
import time:       157 |        157 |         app.utils
import time:      1145 |       1301 |       app.utils.selection_persistence
import time:        45 |         45 |         app.marketdata
import time:        51 |         51 |           app.candles
import time:       673 |        673 |           app.marketdata.candle
import time:       496 |       1219 |         app.candles.candle_builder
import time:      1229 |       1229 |         app.marketdata.ltp_store
import time:        46 |         46 |             app.indicators
import time:       375 |        420 |           app.indicators.ema
import time:       216 |        216 |           app.indicators.rsi
import time:       247 |        882 |         app.engine.indicator_engine_pine_v1_9
import time:       188 |        188 |           app.utils.candle_debug_logger
import time:      1690 |       1878 |         app.engine.strategy_engine
import time:      1009 |       1009 |         app.engine.condition_engine_v1_9
import time:        53 |         53 |         app.db
import time:      4516 |       4516 |                 _sqlite3
import time:       370 |       4885 |               sqlite3.dbapi2
import time:       323 |       5208 |             sqlite3
import time:       328 |        328 |             app.utils.app_paths
import time:      3859 |       9394 |           app.db.sqlite
import time:      1060 |      10453 |         app.db.timeline_repo
import time:        52 |         52 |           app.persistence
import time:       204 |        204 |           app.db.db_lock
import time:      1149 |       1404 |         app.persistence.market_timeline_writer
import time:       873 |        873 |         app.utils.market_hours
import time:       154 |        154 |         app.marketdata.market_indices_state
import time:       246 |        246 |             app.trading
import time:      1339 |       1585 |           app.trading.zerodha_charges_calc
import time:      1163 |       2747 |         app.db.paper_trades_repo
import time:       605 |        605 |           app.config.global_loader
import time:        48 |         48 |             app.api
import time:      4244 |       4292 |           app.api.telegram_api
import time:      1510 |       6406 |         app.trading.paper_trade_recorder
import time:       151 |        151 |         app.event_bus.ws_freeze
import time:       221 |        221 |               app.execution
import time:      1360 |       1580 |             app.execution.base_executor
import time:       125 |        125 |             app.utils.session_utils
import time:       219 |        219 |             app.event_bus.log_bus
import time:        47 |         47 |               app.risk
import time:       887 |        934 |             app.risk.strategy_max_loss_guard
import time:       118 |        118 |             app.trading.signal_snapshot
import time:       948 |        948 |             app.db.trades_repo
import time:      2520 |       6441 |           app.trading.trade_state_manager
import time:      1791 |       8232 |         app.engine.signal_router
import time:       244 |        244 |           app.core
import time:       560 |        803 |         app.core.engine_registry
import time:       438 |        438 |         app.core.ha_engine_registry
import time:       446 |        446 |         app.marketdata.ws_registry
import time:      2300 |      40711 |       app.marketdata.zerodha_tick_engine
import time:       187 |        187 |         app.brokers
import time:       250 |        250 |         app.config.zerodha_credentials_store
import time:       294 |        294 |         app.brokers.zerodha_auth
import time:       385 |       1114 |       app.brokers.zerodha_manager
import time:       606 |        606 |       app.strategy.strategy_registry
import time:       242 |        242 |       app.license
import time:       336 |        336 |       app.license.license_state
import time:      2007 |    2787889 |     app.engine.selection_engine
import time:       823 |        823 |     app.trading.gtt_reconciler
import time:       204 |        204 |       app.engine.bb_options
import time:       548 |        548 |         app.engine.bb_options.futures_resolver
import time:       914 |        914 |           app.db.futures_candles_repo
import time:       641 |       1555 |         app.engine.bb_options.daily_futures_loader
import time:       639 |        639 |         app.engine.bb_options.monthly_expiry_resolver
import time:       638 |        638 |             fractions
import time:     17125 |      17125 |             _statistics
import time:       508 |      18270 |           statistics
import time:      1519 |       1519 |           app.indicators.pivot_cache
import time:      1017 |      20806 |         app.engine.bb_options.indicator_bundle
import time:      1524 |       1524 |         app.engine.bb_options.confluence_signal_engine
import time:      1263 |       1263 |           app.engine.bb_options.option_selector
import time:      3308 |       4571 |         app.engine.bb_options.bb_trade_manager
import time:      1679 |       1679 |         app.engine.bb_options.bb_trade_state_manager
import time:      2734 |       2734 |         app.engine.bb_options.gtt_monitor
import time:       742 |        742 |         app.indicators.token_registry
import time:      1925 |      36718 |       app.engine.bb_options.bb_tick_engine
import time:       247 |        247 |         app.config.trading_config
import time:      3063 |       3310 |       app.execution.zerodha_executor
import time:      1041 |      41272 |     app.engine.bb_options.bb_runtime
import time:       822 |        822 |       app.engine.ha_options
import time:       903 |        903 |         app.indicators.heikin_ashi
import time:      1254 |       1254 |         app.engine.ha_options.ha_signal_engine
import time:       836 |        836 |         app.db.ha_candles_repo
import time:      2151 |       5143 |       app.engine.ha_options.ha_tick_engine
import time:       670 |       6634 |     app.engine.ha_options.ha_runtime
import time:       412 |        412 |       app.engine.bb_v2
import time:       965 |        965 |         app.engine.bb_v2.indicator_bundle_v2
import time:      1099 |       1099 |         app.engine.bb_v2.confluence_signal_engine_v2
import time:      1794 |       3857 |       app.engine.bb_v2.bb_tick_engine_v2
import time:       731 |       4998 |     app.engine.bb_v2.bb_runtime_v2
import time:      1021 |    2894906 |   app.strategy.strategy_runtime
import time:       587 |        587 |     app.execution.execution_router
import time:       464 |        464 |     app.execution.dhan_executor
import time:       453 |        453 |     netrc
import time:   1028780 |    1030282 |   app.execution.executor_factory
import time:      1140 |       1140 |     app.jobs
import time:      3008 |       4148 |   app.jobs.bb_live_eod_v2
import time:       693 |        693 |   app.license.machine_id
import time:       965 |        965 |   app.license.license_validator
import time:      1149 |       1149 |   app.api.health_routes
import time:      2762 |       2762 |   app.api.selection_routes
import time:      2781 |       2781 |   app.api.strategy_routes
import time:   1344393 |    1344393 |   app.api.zerodha_routes
import time:       549 |        549 |     app.utils.version
import time:      1320 |       1869 |   app.api.status_routes
import time:      4101 |       4101 |   app.api.trade_history_routes
import time:      2793 |       2793 |   app.api.positions_routes
import time:      1853 |       1853 |   app.api.trade_state_routes
import time:       520 |        520 |   app.api.signal_routes
import time:      1716 |       1716 |   app.api.log_routes
import time:       431 |        431 |     app.routes
import time:      5573 |       6004 |   app.routes.config_routes
import time:      4331 |       4331 |   app.api.debug_routes
import time:      5506 |       5506 |   app.api.debug_ui_routes
import time:      1867 |       1867 |   app.api.ltp_routes
import time:       454 |        454 |   app.api.market_indices_routes
import time:       551 |        551 |   app.api.paper_trades_routes
import time:       495 |        495 |   app.api.system_routes
import time:       208 |        208 |       app.services
import time:      5414 |       5621 |     app.services.relay_deployer
import time:      2275 |       7896 |   app.api.relay_routes
import time:      1937 |       1937 |   app.services.telegram_scheduler
import time:      1771 |       1771 |   app.api.scalp_v2_api
import time:      1194 |       1194 |     app.db.paper_trade_squareoff
import time:      1023 |       1023 |     app.db.paper_trades_reconcile
import time:       283 |       2500 |   app.jobs.paper_trade_eod
import time:       849 |        849 |   app.jobs.bb_live_eod
import time:       645 |        645 |   app.jobs.ha_live_eod
import time:       650 |        650 |   app.jobs.scalp_v2_live_eod
import time:      1566 |       1566 |   app.api.futures_candles_routes
import time:      1159 |       1159 |   app.marketdata.load_index_prev_close
import time:      1253 |       1253 |   app.engine.broker_reconciliation
import time:      1212 |       1212 |   app.trading.recovery
import time:       297 |        297 |     app.brokers.broker_interface
import time:       354 |        650 |   app.brokers.zerodha_broker
import time:       249 |        249 |         app.db.schema_guard
import time:      1532 |       1781 |       app.db.migrations.runner
import time:       575 |       2355 |     app.db.migrations
import time:        13 |       2368 |   app.db.migrations.runner
import time:      1213 |       1213 |   app.db.housekeeping
import time:       871 |        871 |   app.utils.housekeeping
import time:       720 |        720 |     app.engine.scalp_v2
import time:      4132 |       4132 |     app.engine.scalp_v2.scalp_v2_group_manager
import time:      2145 |       2145 |     app.engine.scalp_v2.scalp_v2_tick_engine
import time:      1598 |       1598 |     app.engine.scalp_v2.scalp_v2_gtt_monitor
import time:      1314 |       9906 |   app.engine.scalp_v2.scalp_v2_selection_loop
import time:    572705 |    6741604 | app.api_server
