trade_id,symbol,entry_time,direction,option_type,entry_fut_px,entry_rsi,strike,entry_opt_px,init_sl_dist,dyn_threshold,st_flip_exit,st_flip_fut_pnl,st_flip_opt_pnl,st_flip_bars,bos_exit,bos_fut_pnl,bos_opt_pnl,bos_bars,range_exit,range_fut_pnl,range_opt_pnl,range_bars,st20_exit,st20_fut_pnl,st20_opt_pnl,st20_bars,st30_exit,st30_fut_pnl,st30_opt_pnl,st30_bars,momentum_v1_exit,momentum_v1_fut_pnl,momentum_v1_opt_pnl,momentum_v1_bars,rsi_exhaust_exit,rsi_exhaust_fut_pnl,rsi_exhaust_opt_pnl,rsi_exhaust_bars,swing_bos_exit,swing_bos_fut_pnl,swing_bos_opt_pnl,swing_bos_bars,tiered_exit,tiered_fut_pnl,tiered_opt_pnl,tiered_bars
20,BANKNIFTY26APRFUT,2026-02-18 14:21,LONG,CE,62064.0,76.24,62100,3101.82,92.53,46.27,2026-02-18 15:27,86.0,47.7,22,2026-02-18 15:09,66.0,36.62,16,2026-02-18 14:24,46.0,26.02,1,2026-02-18 14:36,17.0,9.36,5,2026-02-18 14:36,17.0,9.36,5,2026-02-18 15:09,66.0,36.62,16,2026-02-18 15:27,86.0,47.7,22,2026-02-18 15:27,86.0,47.7,22,2026-02-18 15:09,66.0,36.62,16
21,BANKNIFTY26APRFUT,2026-02-19 12:12,SHORT,PE,61823.0,29.71,56300,568.32,66.4,33.2,2026-02-19 12:21,33.0,5.02,3,2026-02-19 12:21,33.0,5.02,3,2026-02-19 12:15,74.0,11.41,1,2026-02-19 12:21,33.0,5.02,3,2026-02-19 12:21,33.0,5.02,3,2026-02-19 12:21,33.0,5.02,3,2026-02-19 12:21,33.0,5.02,3,2026-02-19 12:21,33.0,5.02,3,2026-02-19 12:21,33.0,5.02,3
22,BANKNIFTY26APRFUT,2026-02-19 12:42,SHORT,PE,61676.4,29.52,56100,555.0,116.98,58.49,2026-02-19 12:54,-95.8,-14.35,4,2026-02-19 12:51,-38.6,-5.85,3,2026-02-19 12:51,-38.6,-5.85,3,2026-02-19 12:54,-95.8,-14.35,4,2026-02-19 12:54,-95.8,-14.35,4,2026-02-19 12:54,-95.8,-14.35,4,2026-02-19 12:54,-95.8,-14.35,4,2026-02-19 12:54,-95.8,-14.35,4,2026-02-19 12:54,-95.8,-14.35,4
23,BANKNIFTY26APRFUT,2026-02-19 14:03,SHORT,PE,61666.2,33.69,56100,556.01,83.46,41.73,2026-02-19 14:21,-88.8,-13.39,6,2026-02-19 14:12,-43.2,-6.55,3,2026-02-19 14:12,-43.2,-6.55,3,2026-02-19 14:12,-43.2,-6.55,3,2026-02-19 14:12,-43.2,-6.55,3,2026-02-19 14:21,-88.8,-13.39,6,2026-02-19 14:12,-43.2,-6.55,3,2026-02-19 14:21,-88.8,-13.39,6,2026-02-19 14:12,-43.2,-6.55,3
24,BANKNIFTY26APRFUT,2026-02-19 14:45,SHORT,PE,61580.0,29.43,56100,568.87,110.93,55.47,2026-02-19 15:27,252.2,39.67,14,2026-02-19 14:54,-0.8,-0.18,3,2026-02-19 14:48,34.8,5.36,1,2026-02-19 15:27,252.2,39.67,14,2026-02-19 15:27,252.2,39.67,14,2026-02-19 15:27,252.2,39.67,14,2026-02-19 15:27,252.2,39.67,14,2026-02-19 15:27,252.2,39.67,14,2026-02-19 15:27,252.2,39.67,14
25,BANKNIFTY26APRFUT,2026-02-20 12:21,LONG,CE,62005.0,72.06,62000,3072.55,57.48,28.74,2026-02-20 12:45,-25.2,-14.68,8,2026-02-20 12:42,13.4,7.24,7,2026-02-20 12:24,45.0,25.51,1,2026-02-20 12:42,13.4,7.24,7,2026-02-20 12:42,13.4,7.24,7,2026-02-20 12:36,41.0,23.03,5,2026-02-20 12:45,-25.2,-14.68,8,2026-02-20 12:45,-25.2,-14.68,8,2026-02-20 12:36,41.0,23.03,5
26,BANKNIFTY26APRFUT,2026-02-24 12:48,SHORT,PE,61645.0,19.41,56400,564.17,108.91,54.46,2026-02-24 13:09,-60.4,-9.59,7,2026-02-24 12:54,-17.0,-2.71,2,2026-02-24 13:06,-48.2,-7.68,6,2026-02-24 13:06,-48.2,-7.68,6,2026-02-24 13:06,-48.2,-7.68,6,2026-02-24 13:09,-60.4,-9.59,7,2026-02-24 13:09,-60.4,-9.59,7,2026-02-24 13:09,-60.4,-9.59,7,2026-02-24 13:09,-60.4,-9.59,7
27,BANKNIFTY26APRFUT,2026-02-24 13:33,SHORT,PE,61571.2,26.16,56300,557.28,117.6,58.8,2026-02-24 13:54,-83.0,-12.98,7,2026-02-24 13:39,-31.8,-4.99,2,2026-02-24 13:54,-83.0,-12.98,7,2026-02-24 13:45,-77.8,-12.12,4,2026-02-24 13:45,-77.8,-12.12,4,2026-02-24 13:48,-60.8,-9.53,5,2026-02-24 13:45,-77.8,-12.12,4,2026-02-24 13:54,-83.0,-12.98,7,2026-02-24 13:45,-77.8,-12.12,4
28,BANKNIFTY26APRFUT,2026-02-27 09:30,SHORT,PE,61576.2,29.37,56500,563.7,114.17,57.08,2026-02-27 10:33,110.2,17.45,21,2026-02-27 10:09,151.2,24.42,13,2026-02-27 09:54,141.4,22.9,8,2026-02-27 10:27,146.8,23.55,19,2026-02-27 10:24,151.2,24.31,18,2026-02-27 10:09,151.2,24.42,13,2026-02-27 10:30,136.2,21.77,20,2026-02-27 10:33,110.2,17.45,21,2026-02-27 10:09,151.2,24.42,13
29,BANKNIFTY26APRFUT,2026-02-27 15:03,SHORT,PE,61361.0,34.84,56300,558.82,104.07,52.03,2026-02-27 15:27,161.0,26.1,8,2026-02-27 15:27,161.0,26.1,8,2026-02-27 15:06,100.0,16.18,1,2026-02-27 15:27,161.0,26.1,8,2026-02-27 15:27,161.0,26.1,8,2026-02-27 15:18,110.0,17.73,5,2026-02-27 15:27,161.0,26.1,8,2026-02-27 15:27,161.0,26.1,8,2026-02-27 15:18,110.0,17.73,5
