trade_id,symbol,entry_time,direction,option_type,entry_fut_px,entry_rsi,strike,entry_opt_px,init_sl_dist,dyn_threshold,st_flip_exit,st_flip_fut_pnl,st_flip_opt_pnl,st_flip_bars,bos_exit,bos_fut_pnl,bos_opt_pnl,bos_bars,range_exit,range_fut_pnl,range_opt_pnl,range_bars,st20_exit,st20_fut_pnl,st20_opt_pnl,st20_bars,st30_exit,st30_fut_pnl,st30_opt_pnl,st30_bars,momentum_v1_exit,momentum_v1_fut_pnl,momentum_v1_opt_pnl,momentum_v1_bars,rsi_exhaust_exit,rsi_exhaust_fut_pnl,rsi_exhaust_opt_pnl,rsi_exhaust_bars,swing_bos_exit,swing_bos_fut_pnl,swing_bos_opt_pnl,swing_bos_bars,tiered_exit,tiered_fut_pnl,tiered_opt_pnl,tiered_bars
57,BANKNIFTY26APRFUT,2026-03-27 09:18,SHORT,PE,53358.8,12.14,50800,547.59,396.47,198.24,2026-03-27 10:39,233.8,53.44,27,2026-03-27 09:45,198.8,45.65,9,2026-03-27 09:21,119.0,27.12,1,2026-03-27 10:33,254.2,58.44,25,2026-03-27 10:33,254.2,58.44,25,2026-03-27 10:06,256.0,59.18,16,2026-03-27 10:39,233.8,53.44,27,2026-03-27 10:39,233.8,53.44,27,2026-03-27 10:06,256.0,59.18,16
58,BANKNIFTY26APRFUT,2026-03-27 11:30,SHORT,PE,52806.0,22.49,50300,546.99,174.04,87.02,2026-03-27 12:27,-110.0,-24.97,19,2026-03-27 11:36,-50.2,-11.3,2,2026-03-27 12:03,-33.0,-7.76,11,2026-03-27 12:27,-110.0,-24.97,19,2026-03-27 11:54,-94.6,-21.27,8,2026-03-27 12:00,-83.0,-18.79,10,2026-03-27 11:54,-94.6,-21.27,8,2026-03-27 12:27,-110.0,-24.97,19,2026-03-27 11:54,-94.6,-21.27,8
59,BANKNIFTY26APRFUT,2026-03-27 14:36,SHORT,PE,52632.0,27.54,50200,559.62,122.94,61.47,2026-03-27 15:27,110.0,25.25,17,2026-03-27 15:12,42.8,9.54,12,2026-03-27 14:39,89.4,20.88,1,2026-03-27 15:27,110.0,25.25,17,2026-03-27 15:27,110.0,25.25,17,2026-03-27 14:54,42.0,9.55,6,2026-03-27 15:27,110.0,25.25,17,2026-03-27 15:27,110.0,25.25,17,2026-03-27 14:54,42.0,9.55,6
60,BANKNIFTY26APRFUT,2026-03-30 09:18,SHORT,PE,51349.0,7.08,49200,559.74,530.73,265.37,2026-03-30 09:36,-284.2,-65.92,6,2026-03-30 09:30,-91.0,-21.89,4,2026-03-30 09:21,37.6,9.17,1,2026-03-30 09:36,-284.2,-65.92,6,2026-03-30 09:36,-284.2,-65.92,6,2026-03-30 09:33,-201.0,-47.32,5,2026-03-30 09:36,-284.2,-65.92,6,2026-03-30 09:36,-284.2,-65.92,6,2026-03-30 09:33,-201.0,-47.32,5
61,BANKNIFTY26APRFUT,2026-03-30 13:27,SHORT,PE,50949.4,29.09,48800,548.04,146.36,73.18,2026-03-30 15:24,203.8,49.52,39,2026-03-30 13:36,-40.6,-9.81,3,2026-03-30 14:24,149.6,36.35,19,2026-03-30 15:24,203.8,49.52,39,2026-03-30 15:12,321.8,80.75,35,2026-03-30 13:42,-27.2,-6.68,5,2026-03-30 14:03,-0.6,-0.54,12,2026-03-30 15:24,203.8,49.52,39,2026-03-30 13:42,-27.2,-6.68,5
62,BANKNIFTY26APRFUT,2026-04-01 09:18,LONG,CE,51950.0,85.27,54800,555.58,542.53,271.27,2026-04-01 10:24,-350.0,-86.42,22,2026-04-01 09:24,-20.0,-5.26,2,2026-04-01 09:33,-100.0,-25.72,5,2026-04-01 10:21,-230.4,-58.37,21,2026-04-01 10:12,-225.0,-56.95,18,2026-04-01 09:39,-180.0,-45.58,7,2026-04-01 10:12,-225.0,-56.95,18,2026-04-01 10:24,-350.0,-86.42,22,2026-04-01 09:39,-180.0,-45.58,7
63,BANKNIFTY26APRFUT,2026-04-01 12:06,LONG,CE,51931.8,70.46,54800,548.25,195.52,97.76,2026-04-01 13:21,258.2,68.12,25,2026-04-01 12:36,61.8,15.58,10,2026-04-01 12:48,248.2,65.87,14,2026-04-01 13:21,258.2,68.12,25,2026-04-01 13:21,258.2,68.12,25,2026-04-01 12:24,63.4,16.19,6,2026-04-01 13:21,258.2,68.12,25,2026-04-01 13:21,258.2,68.12,25,2026-04-01 12:24,63.4,16.19,6
64,BANKNIFTY26APRFUT,2026-04-02 09:18,SHORT,PE,50430.0,10.32,48500,547.9,579.81,289.91,2026-04-02 12:00,-8.2,-4.02,54,2026-04-02 09:33,-4.0,-1.18,5,2026-04-02 09:33,-4.0,-1.18,5,2026-04-02 12:00,-8.2,-4.02,54,2026-04-02 11:03,70.0,16.59,35,2026-04-02 09:39,-165.0,-40.6,7,2026-04-02 10:57,114.8,28.32,33,2026-04-02 12:00,-8.2,-4.02,54,2026-04-02 09:39,-165.0,-40.6,7
65,BANKNIFTY26APRFUT,2026-04-06 14:21,LONG,CE,52725.0,70.6,55100,563.4,170.94,85.47,2026-04-06 15:27,195.0,54.94,22,2026-04-06 14:27,-80.0,-22.05,2,2026-04-06 14:27,-80.0,-22.05,2,2026-04-06 15:27,195.0,54.94,22,2026-04-06 15:27,195.0,54.94,22,2026-04-06 14:45,-25.0,-7.35,8,2026-04-06 14:57,-37.0,-10.87,12,2026-04-06 15:27,195.0,54.94,22,2026-04-06 14:45,-25.0,-7.35,8
66,BANKNIFTY26APRFUT,2026-04-08 09:18,LONG,CE,55121.4,93.68,57500,566.04,670.39,335.19,2026-04-08 11:54,420.6,122.45,52,2026-04-08 10:00,202.2,57.36,14,2026-04-08 09:24,1.6,0.33,2,2026-04-08 11:51,443.6,129.9,51,2026-04-08 11:51,443.6,129.9,51,2026-04-08 10:42,353.6,102.76,28,2026-04-08 11:51,443.6,129.9,51,2026-04-08 11:54,420.6,122.45,52,2026-04-08 10:42,353.6,102.76,28
67,BANKNIFTY26APRFUT,2026-04-08 14:33,LONG,CE,55798.0,70.4,58200,568.21,138.79,69.39,2026-04-08 15:27,163.8,45.61,18,2026-04-08 14:51,44.0,11.93,6,2026-04-08 14:51,44.0,11.93,6,2026-04-08 15:27,163.8,45.61,18,2026-04-08 15:27,163.8,45.61,18,2026-04-08 15:27,163.8,45.61,18,2026-04-08 15:09,84.2,22.96,12,2026-04-08 15:27,163.8,45.61,18,2026-04-08 15:27,163.8,45.61,18
68,BANKNIFTY26APRFUT,2026-04-09 14:24,SHORT,PE,54920.0,32.9,53200,552.88,200.67,100.34,2026-04-09 15:03,-175.0,-45.79,13,2026-04-09 14:39,-16.0,-4.49,5,2026-04-09 14:48,-60.0,-16.21,8,2026-04-09 14:45,-100.0,-26.51,7,2026-04-09 14:45,-100.0,-26.51,7,2026-04-09 14:39,-16.0,-4.49,5,2026-04-09 14:42,-40.0,-10.87,6,2026-04-09 15:03,-175.0,-45.79,13,2026-04-09 14:39,-16.0,-4.49,5
69,BANKNIFTY26APRFUT,2026-04-10 09:18,LONG,CE,55632.2,78.88,57900,547.16,424.16,212.08,2026-04-10 11:48,268.8,75.31,50,2026-04-10 09:27,56.6,15.74,3,2026-04-10 10:06,222.0,63.32,16,2026-04-10 11:30,279.8,79.07,44,2026-04-10 11:30,279.8,79.07,44,2026-04-10 09:39,144.8,40.95,7,2026-04-10 10:45,317.8,91.81,29,2026-04-10 11:48,268.8,75.31,50,2026-04-10 09:39,144.8,40.95,7
70,BANKNIFTY26APRFUT,2026-04-13 09:18,SHORT,PE,54724.4,13.22,53300,542.91,629.03,314.51,2026-04-13 10:27,-316.6,-85.75,23,2026-04-13 09:24,-65.6,-18.54,2,2026-04-13 10:21,-235.6,-65.08,21,2026-04-13 10:24,-267.2,-73.24,22,2026-04-13 10:24,-267.2,-73.24,22,2026-04-13 09:45,-125.6,-35.35,9,2026-04-13 10:21,-235.6,-65.08,21,2026-04-13 10:27,-316.6,-85.75,23,2026-04-13 09:45,-125.6,-35.35,9
71,BANKNIFTY26APRFUT,2026-04-15 09:18,LONG,CE,56850.0,88.61,58600,547.14,435.17,217.59,2026-04-15 09:39,-368.0,-104.19,7,2026-04-15 09:24,-68.2,-20.57,2,2026-04-15 09:39,-368.0,-104.19,7,2026-04-15 09:39,-368.0,-104.19,7,2026-04-15 09:39,-368.0,-104.19,7,2026-04-15 09:33,-205.2,-60.13,5,2026-04-15 09:39,-368.0,-104.19,7,2026-04-15 09:39,-368.0,-104.19,7,2026-04-15 09:33,-205.2,-60.13,5
72,BANKNIFTY26APRFUT,2026-04-17 14:45,LONG,CE,56699.0,73.51,58100,563.14,122.03,61.02,2026-04-17 15:21,-56.8,-19.44,12,2026-04-17 15:00,-34.6,-11.7,5,2026-04-17 14:54,24.4,7.8,3,2026-04-17 15:00,-34.6,-11.7,5,2026-04-17 15:00,-34.6,-11.7,5,2026-04-17 15:00,-34.6,-11.7,5,2026-04-17 15:03,-39.0,-13.21,6,2026-04-17 15:21,-56.8,-19.44,12,2026-04-17 15:00,-34.6,-11.7,5
73,BANKNIFTY26APRFUT,2026-04-21 09:21,LONG,CE,56998.0,97.71,57900,564.5,126.35,63.18,2026-04-21 11:36,188.0,67.59,45,2026-04-21 09:27,-36.0,-13.4,2,2026-04-21 09:27,-36.0,-13.4,2,2026-04-21 11:33,223.2,81.9,44,2026-04-21 11:33,223.2,81.9,44,2026-04-21 10:18,213.2,80.55,19,2026-04-21 11:12,257.0,96.5,37,2026-04-21 11:36,188.0,67.59,45,2026-04-21 10:18,213.2,80.55,19
74,BANKNIFTY26APRFUT,2026-04-23 09:18,SHORT,PE,56693.8,1.44,56200,542.1,73.31,36.66,2026-04-23 09:51,-131.2,-49.47,11,2026-04-23 09:30,-41.2,-15.94,4,2026-04-23 09:21,1.0,0.28,1,2026-04-23 09:51,-131.2,-49.47,11,2026-04-23 09:51,-131.2,-49.47,11,2026-04-23 09:33,-17.2,-7.03,5,2026-04-23 09:51,-131.2,-49.47,11,2026-04-23 09:51,-131.2,-49.47,11,2026-04-23 09:33,-17.2,-7.03,5
75,BANKNIFTY26APRFUT,2026-04-23 10:45,SHORT,PE,56615.0,28.11,56200,569.77,131.32,65.66,2026-04-23 13:21,150.0,56.21,52,2026-04-23 11:06,30.0,11.25,7,2026-04-23 10:48,57.0,22.79,1,2026-04-23 13:06,187.4,72.77,47,2026-04-23 11:54,25.0,7.6,23,2026-04-23 11:06,30.0,11.25,7,2026-04-23 11:33,20.2,6.4,16,2026-04-23 13:21,150.0,56.21,52,2026-04-23 11:06,30.0,11.25,7
76,BANKNIFTY26APRFUT,2026-04-24 09:39,SHORT,PE,56113.2,28.35,55800,557.18,162.13,81.06,2026-04-24 10:12,-6.4,-3.85,11,2026-04-24 10:03,73.2,29.87,8,2026-04-24 10:03,73.2,29.87,8,2026-04-24 10:06,43.0,16.93,9,2026-04-24 10:06,43.0,16.93,9,2026-04-24 10:06,43.0,16.93,9,2026-04-24 10:06,43.0,16.93,9,2026-04-24 10:12,-6.4,-3.85,11,2026-04-24 10:06,43.0,16.93,9
77,BANKNIFTY26APRFUT,2026-04-24 13:42,SHORT,PE,55880.0,34.0,55600,559.53,131.17,65.58,2026-04-24 14:18,-105.0,-44.1,12,2026-04-24 14:18,-105.0,-44.1,12,2026-04-24 14:18,-105.0,-44.1,12,2026-04-24 14:18,-105.0,-44.1,12,2026-04-24 14:18,-105.0,-44.1,12,2026-04-24 14:15,-44.0,-19.44,11,2026-04-24 13:57,-31.0,-13.43,5,2026-04-24 14:18,-105.0,-44.1,12,2026-04-24 13:57,-31.0,-13.43,5
78,BANKNIFTY26APRFUT,2026-04-28 09:18,SHORT,PE,55911.2,0.0,55900,421.86,185.8,92.9,2026-04-28 09:27,-123.8,-57.7,3,2026-04-28 09:27,-123.8,-57.7,3,2026-04-28 09:21,-28.8,-13.97,1,2026-04-28 09:27,-123.8,-57.7,3,2026-04-28 09:27,-123.8,-57.7,3,2026-04-28 09:27,-123.8,-57.7,3,2026-04-28 09:27,-123.8,-57.7,3,2026-04-28 09:27,-123.8,-57.7,3,2026-04-28 09:27,-123.8,-57.7,3
79,BANKNIFTY26APRFUT,2026-04-28 11:09,SHORT,PE,55944.0,34.08,55900,399.01,122.37,61.19,2026-04-28 12:18,194.2,94.15,23,2026-04-28 11:15,-21.0,-10.22,2,2026-04-28 11:18,34.6,15.96,3,2026-04-28 12:18,194.2,94.15,23,2026-04-28 11:39,144.0,69.84,10,2026-04-28 11:42,144.4,69.85,11,2026-04-28 12:18,194.2,94.15,23,2026-04-28 12:18,194.2,94.15,23,2026-04-28 11:42,144.4,69.85,11
80,BANKNIFTY26APRFUT,2026-04-28 13:36,SHORT,PE,55550.0,31.67,55600,433.13,125.1,62.55,2026-04-28 13:57,-101.2,-50.8,7,2026-04-28 13:42,-19.0,-9.97,2,2026-04-28 13:54,-83.4,-42.19,6,2026-04-28 13:54,-83.4,-42.19,6,2026-04-28 13:54,-83.4,-42.19,6,2026-04-28 13:54,-83.4,-42.19,6,2026-04-28 13:45,-56.0,-28.41,3,2026-04-28 13:57,-101.2,-50.8,7,2026-04-28 13:45,-56.0,-28.41,3
81,BANKNIFTY26APRFUT,2026-04-28 15:12,SHORT,PE,55429.8,34.6,55400,385.96,136.09,68.04,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5,2026-04-28 15:27,33.6,15.24,5
TOTAL,,,,,,,,,,,,969.4,216.59,,,-72.2,136.48,,,-194.6,-23.52,,,1119.4,354.9,,,803.6,234.13,,,343.6,140.94,,,982.0,265.61,,,969.4,216.59,,,455.2,174.61,
