date,dow,class,spot_bars,covered,skip_reason,expected_expiry,corpus_expiries,atm_prem,sel_ce,sel_pe,pick_printrate
2023-02-16,Thu,TRADEABLE,375,True,,2023-02-16,,28.5,1,2,1.0
2023-02-17,Fri,TRADEABLE,375,True,,2023-02-23,,113.8,2,2,1.0
2023-02-20,Mon,TRADEABLE,375,True,,2023-02-23,,82.8,2,2,1.0
2023-02-21,Tue,TRADEABLE,375,True,,2023-02-23,,71.1,2,1,1.0
2023-02-22,Wed,TRADEABLE,375,True,,2023-02-23,,64.3,1,2,1.0
2023-02-23,Thu,TRADEABLE,375,True,,2023-02-23,,37.5,1,1,1.0
2023-02-24,Fri,TRADEABLE,374,True,,2023-03-02,,112.2,2,2,1.0
2023-02-27,Mon,TRADEABLE,375,True,,2023-03-02,,99.0,2,2,1.0
2023-02-28,Tue,TRADEABLE,375,True,,2023-03-02,,84.7,2,1,1.0
2023-03-01,Wed,TRADEABLE,375,True,,2023-03-02,,62.1,1,1,1.0
2023-03-02,Thu,TRADEABLE,375,True,,2023-03-02,,32.4,1,1,1.0
2023-03-03,Fri,TRADEABLE,375,True,,2023-03-09,,85.0,1,2,1.0
2023-03-06,Mon,TRADEABLE,375,True,,2023-03-09,,57.0,2,2,1.0
2023-03-07,Tue,NO_SPOT,0,,,2023-03-09,,,,,
2023-03-08,Wed,TRADEABLE,379,True,,2023-03-09,,48.5,2,1,1.0
2023-03-09,Thu,TRADEABLE,375,True,,2023-03-09,,26.2,1,1,1.0
2023-03-10,Fri,TRADEABLE,374,True,,2023-03-16,,97.2,2,2,1.0
2023-03-13,Mon,TRADEABLE,375,True,,2023-03-16,,100.5,2,1,1.0
2023-03-14,Tue,TRADEABLE,375,True,,2023-03-16,,103.4,2,2,1.0
2023-03-15,Wed,TRADEABLE,375,True,,2023-03-16,,70.5,2,1,1.0
2023-03-16,Thu,TRADEABLE,375,True,,2023-03-16,,38.8,1,1,1.0
2023-03-17,Fri,TRADEABLE,375,True,,2023-03-23,,148.4,2,2,1.0
2023-03-20,Mon,TRADEABLE,375,True,,2023-03-23,,131.2,2,2,1.0
2023-03-21,Tue,TRADEABLE,375,True,,2023-03-23,,100.5,2,2,1.0
2023-03-22,Wed,TRADEABLE,375,True,,2023-03-23,,72.5,1,1,1.0
2023-03-23,Thu,TRADEABLE,375,True,,2023-03-23,,33.4,1,1,1.0
2023-03-24,Fri,TRADEABLE,374,True,,2023-03-30,,105.2,2,2,1.0
2023-03-27,Mon,TRADEABLE,375,True,,2023-03-30,,120.2,2,2,1.0
2023-03-28,Tue,TRADEABLE,375,True,,2023-03-30,,81.5,1,2,1.0
2023-03-29,Wed,TRADEABLE,375,True,,2023-03-30,,22.8,1,1,1.0
2023-03-30,Thu,NO_SPOT,0,,,2023-03-30,,,,,
2023-03-31,Fri,TRADEABLE,375,True,,2023-04-06,,104.7,2,2,1.0
2023-04-03,Mon,TRADEABLE,375,True,,2023-04-06,,80.0,1,2,1.0
2023-04-04,Tue,NO_SPOT,0,,,2023-04-06,,,,,
2023-04-05,Wed,TRADEABLE,375,True,,2023-04-06,,61.6,1,1,1.0
2023-04-06,Thu,TRADEABLE,375,True,,2023-04-06,,25.9,1,1,1.0
2023-04-07,Fri,NO_SPOT,0,,,2023-04-13,,,,,
2023-04-10,Mon,TRADEABLE,375,True,,2023-04-13,,71.9,2,2,1.0
2023-04-11,Tue,TRADEABLE,374,True,,2023-04-13,,55.9,1,1,1.0
2023-04-12,Wed,TRADEABLE,375,True,,2023-04-13,,54.9,1,1,1.0
2023-04-13,Thu,TRADEABLE,375,True,,2023-04-13,,33.4,2,1,1.0
2023-04-14,Fri,NO_SPOT,0,,,2023-04-20,,,,,
2023-04-17,Mon,TRADEABLE,375,True,,2023-04-20,,97.8,2,1,1.0
2023-04-18,Tue,TRADEABLE,375,True,,2023-04-20,,60.7,2,1,1.0
2023-04-19,Wed,TRADEABLE,375,True,,2023-04-20,,52.0,2,2,1.0
2023-04-20,Thu,TRADEABLE,375,True,,2023-04-20,,17.2,1,2,1.0
2023-04-21,Fri,TRADEABLE,374,True,,2023-04-27,,99.8,1,2,1.0
2023-04-24,Mon,TRADEABLE,375,True,,2023-04-27,,72.6,1,1,1.0
2023-04-25,Tue,TRADEABLE,374,True,,2023-04-27,,56.6,1,1,1.0
2023-04-26,Wed,TRADEABLE,374,True,,2023-04-27,,38.8,2,1,1.0
2023-04-27,Thu,TRADEABLE,375,True,,2023-04-27,,25.9,1,1,1.0
2023-04-28,Fri,TRADEABLE,375,True,,2023-05-04,,97.7,1,1,1.0
2023-05-01,Mon,NO_SPOT,0,,,2023-05-04,,,,,
2023-05-02,Tue,TRADEABLE,376,True,,2023-05-04,,72.7,2,1,1.0
2023-05-03,Wed,TRADEABLE,376,True,,2023-05-04,,50.3,2,1,1.0
2023-05-04,Thu,TRADEABLE,375,True,,2023-05-04,,28.9,1,1,1.0
2023-05-05,Fri,TRADEABLE,375,True,,2023-05-11,,94.8,2,2,1.0
2023-05-08,Mon,TRADEABLE,376,True,,2023-05-11,,83.2,2,2,1.0
2023-05-09,Tue,TRADEABLE,376,True,,2023-05-11,,66.3,1,1,1.0
2023-05-10,Wed,TRADEABLE,376,True,,2023-05-11,,43.9,1,1,1.0
2023-05-11,Thu,TRADEABLE,376,True,,2023-05-11,,35.7,1,1,1.0
2023-05-12,Fri,TRADEABLE,376,True,,2023-05-18,,84.2,1,2,1.0
2023-05-15,Mon,TRADEABLE,376,True,,2023-05-18,,82.4,2,2,1.0
2023-05-16,Tue,TRADEABLE,376,True,,2023-05-18,,76.7,1,2,1.0
2023-05-17,Wed,TRADEABLE,376,True,,2023-05-18,,55.2,1,2,1.0
2023-05-18,Thu,TRADEABLE,375,True,,2023-05-18,,23.9,1,1,1.0
2023-05-19,Fri,TRADEABLE,375,True,,2023-05-25,,111.2,1,2,1.0
2023-05-22,Mon,TRADEABLE,376,True,,2023-05-25,,80.1,2,2,1.0
2023-05-23,Tue,TRADEABLE,376,True,,2023-05-25,,65.6,1,2,1.0
2023-05-24,Wed,TRADEABLE,376,True,,2023-05-25,,54.9,1,1,1.0
2023-05-25,Thu,TRADEABLE,376,True,,2023-05-25,,20.1,1,1,1.0
2023-05-26,Fri,TRADEABLE,376,True,,2023-06-01,,93.0,2,2,1.0
2023-05-29,Mon,TRADEABLE,376,True,,2023-06-01,,83.9,1,1,1.0
2023-05-30,Tue,TRADEABLE,376,True,,2023-06-01,,68.2,1,1,1.0
2023-05-31,Wed,TRADEABLE,376,True,,2023-06-01,,64.8,2,1,1.0
2023-06-01,Thu,TRADEABLE,375,True,,2023-06-01,,33.3,1,1,1.0
2023-06-02,Fri,TRADEABLE,375,True,,2023-06-08,,106.8,1,1,1.0
2023-06-05,Mon,TRADEABLE,376,True,,2023-06-08,,98.2,1,1,1.0
2023-06-06,Tue,TRADEABLE,376,True,,2023-06-08,,64.5,1,1,1.0
2023-06-07,Wed,TRADEABLE,376,True,,2023-06-08,,49.4,1,1,1.0
2023-06-08,Thu,TRADEABLE,376,True,,2023-06-08,,32.6,2,1,1.0
2023-06-09,Fri,TRADEABLE,376,True,,2023-06-15,,88.0,2,1,1.0
2023-06-12,Mon,TRADEABLE,376,True,,2023-06-15,,96.0,1,1,1.0
2023-06-13,Tue,TRADEABLE,376,True,,2023-06-15,,66.8,1,1,1.0
2023-06-14,Wed,TRADEABLE,376,True,,2023-06-15,,53.2,1,1,1.0
2023-06-15,Thu,TRADEABLE,375,True,,2023-06-15,,19.1,1,1,1.0
2023-06-16,Fri,TRADEABLE,375,True,,2023-06-22,,113.7,2,1,1.0
2023-06-19,Mon,TRADEABLE,376,True,,2023-06-22,,78.7,1,1,1.0
2023-06-20,Tue,TRADEABLE,376,True,,2023-06-22,,73.0,2,2,1.0
2023-06-21,Wed,TRADEABLE,376,True,,2023-06-22,,59.8,1,1,1.0
2023-06-22,Thu,TRADEABLE,376,True,,2023-06-22,,23.6,1,1,1.0
2023-06-23,Fri,TRADEABLE,376,True,,2023-06-29,,104.5,1,2,1.0
2023-06-26,Mon,TRADEABLE,376,True,,2023-06-29,,89.3,1,2,1.0
2023-06-27,Tue,TRADEABLE,376,True,,2023-06-29,,51.0,2,1,1.0
2023-06-28,Wed,TRADEABLE,376,True,,2023-06-29,,30.6,1,1,1.0
2023-06-29,Thu,NO_SPOT,0,,,2023-06-29,,,,,
2023-06-30,Fri,TRADEABLE,375,True,,2023-07-06,,90.3,2,1,1.0
2023-07-03,Mon,TRADEABLE,376,True,,2023-07-06,,94.6,2,1,1.0
2023-07-04,Tue,TRADEABLE,376,True,,2023-07-06,,71.5,1,2,1.0
2023-07-05,Wed,TRADEABLE,376,True,,2023-07-06,,59.0,2,1,1.0
2023-07-06,Thu,TRADEABLE,376,True,,2023-07-06,,32.4,1,2,1.0
2023-07-07,Fri,TRADEABLE,376,True,,2023-07-13,,108.8,1,1,1.0
2023-07-10,Mon,TRADEABLE,376,True,,2023-07-13,,81.3,1,1,1.0
2023-07-11,Tue,TRADEABLE,376,True,,2023-07-13,,68.2,1,2,1.0
2023-07-12,Wed,TRADEABLE,375,True,,2023-07-13,,53.4,1,1,1.0
2023-07-13,Thu,TRADEABLE,375,True,,2023-07-13,,29.4,2,1,1.0
2023-07-14,Fri,TRADEABLE,375,True,,2023-07-20,,101.5,1,2,1.0
2023-07-17,Mon,TRADEABLE,376,True,,2023-07-20,,84.3,2,2,1.0
2023-07-18,Tue,TRADEABLE,376,True,,2023-07-20,,82.2,2,2,1.0
2023-07-19,Wed,TRADEABLE,376,True,,2023-07-20,,51.4,1,1,1.0
2023-07-20,Thu,TRADEABLE,376,True,,2023-07-20,,34.7,2,2,1.0
2023-07-21,Fri,TRADEABLE,376,True,,2023-07-27,,133.9,2,2,1.0
2023-07-24,Mon,TRADEABLE,376,True,,2023-07-27,,115.9,2,2,1.0
2023-07-25,Tue,TRADEABLE,376,True,,2023-07-27,,81.3,1,2,1.0
2023-07-26,Wed,TRADEABLE,376,True,,2023-07-27,,59.5,1,1,1.0
2023-07-27,Thu,TRADEABLE,375,True,,2023-07-27,,38.6,1,2,1.0
2023-07-28,Fri,TRADEABLE,375,True,,2023-08-03,,109.8,2,2,1.0
2023-07-31,Mon,TRADEABLE,376,True,,2023-08-03,,95.5,2,2,1.0
2023-08-01,Tue,TRADEABLE,376,True,,2023-08-03,,61.0,2,1,1.0
2023-08-02,Wed,TRADEABLE,376,True,,2023-08-03,,57.6,1,1,1.0
2023-08-03,Thu,TRADEABLE,376,True,,2023-08-03,,42.2,1,1,1.0
2023-08-04,Fri,TRADEABLE,376,True,,2023-08-10,,104.5,1,2,1.0
2023-08-07,Mon,TRADEABLE,376,True,,2023-08-10,,83.0,1,1,1.0
2023-08-08,Tue,TRADEABLE,376,True,,2023-08-10,,66.0,1,1,1.0
2023-08-09,Wed,TRADEABLE,376,True,,2023-08-10,,62.0,1,1,1.0
2023-08-10,Thu,TRADEABLE,375,True,,2023-08-10,,34.2,1,1,1.0
2023-08-11,Fri,TRADEABLE,375,True,,2023-08-17,,106.7,2,2,1.0
2023-08-14,Mon,TRADEABLE,376,True,,2023-08-17,,79.6,2,2,1.0
2023-08-15,Tue,NO_SPOT,0,,,2023-08-17,,,,,
2023-08-16,Wed,TRADEABLE,376,True,,2023-08-17,,47.1,1,2,1.0
2023-08-17,Thu,TRADEABLE,376,True,,2023-08-17,,33.8,1,1,1.0
2023-08-18,Fri,TRADEABLE,376,True,,2023-08-24,,96.7,2,1,1.0
2023-08-21,Mon,TRADEABLE,376,True,,2023-08-24,,65.2,1,2,1.0
2023-08-22,Tue,TRADEABLE,376,True,,2023-08-24,,48.8,1,2,1.0
2023-08-23,Wed,TRADEABLE,376,True,,2023-08-24,,45.2,1,1,1.0
2023-08-24,Thu,TRADEABLE,375,True,,2023-08-24,,35.5,1,1,1.0
2023-08-25,Fri,TRADEABLE,375,True,,2023-08-31,,82.5,2,2,1.0
2023-08-28,Mon,TRADEABLE,376,True,,2023-08-31,,72.5,2,2,1.0
2023-08-29,Tue,TRADEABLE,376,True,,2023-08-31,,54.1,2,1,1.0
2023-08-30,Wed,TRADEABLE,376,True,,2023-08-31,,35.0,1,1,1.0
2023-08-31,Thu,TRADEABLE,376,True,,2023-08-31,,17.9,1,1,1.0
2023-09-01,Fri,TRADEABLE,376,True,,2023-09-07,,109.0,2,2,1.0
2023-09-04,Mon,TRADEABLE,376,True,,2023-09-07,,66.9,1,1,1.0
2023-09-05,Tue,TRADEABLE,376,True,,2023-09-07,,47.4,1,1,1.0
2023-09-06,Wed,TRADEABLE,376,True,,2023-09-07,,43.5,1,2,1.0
2023-09-07,Thu,TRADEABLE,375,True,,2023-09-07,,28.2,1,1,1.0
2023-09-08,Fri,TRADEABLE,375,True,,2023-09-14,,105.2,1,2,1.0
2023-09-11,Mon,TRADEABLE,376,True,,2023-09-14,,83.1,2,2,1.0
2023-09-12,Tue,TRADEABLE,376,True,,2023-09-14,,70.8,2,1,1.0
2023-09-13,Wed,TRADEABLE,376,True,,2023-09-14,,73.8,2,1,1.0
2023-09-14,Thu,TRADEABLE,376,True,,2023-09-14,,17.9,1,1,1.0
2023-09-15,Fri,TRADEABLE,390,True,,2023-09-21,,109.4,2,1,1.0
2023-09-18,Mon,TRADEABLE,376,True,,2023-09-21,,72.0,1,2,1.0
2023-09-19,Tue,NO_SPOT,0,,,2023-09-21,,,,,
2023-09-20,Wed,TRADEABLE,375,True,,2023-09-21,,67.1,1,2,1.0
2023-09-21,Thu,TRADEABLE,375,True,,2023-09-21,,12.7,1,1,1.0
2023-09-22,Fri,TRADEABLE,375,True,,2023-09-28,,108.0,1,2,1.0
2023-09-25,Mon,TRADEABLE,376,True,,2023-09-28,,80.8,1,1,1.0
2023-09-26,Tue,TRADEABLE,376,True,,2023-09-28,,80.0,2,1,1.0
2023-09-27,Wed,TRADEABLE,376,True,,2023-09-28,,49.2,2,2,1.0
2023-09-28,Thu,TRADEABLE,376,True,,2023-09-28,,24.4,1,1,1.0
2023-09-29,Fri,TRADEABLE,376,True,,2023-10-05,,102.6,2,2,1.0
2023-10-02,Mon,NO_SPOT,0,,,2023-10-05,,,,,
2023-10-03,Tue,TRADEABLE,376,True,,2023-10-05,,76.6,1,1,1.0
2023-10-04,Wed,TRADEABLE,376,True,,2023-10-05,,54.5,1,1,1.0
2023-10-05,Thu,TRADEABLE,375,True,,2023-10-05,,20.4,1,2,1.0
2023-10-06,Fri,TRADEABLE,375,True,,2023-10-12,,103.2,2,2,1.0
2023-10-09,Mon,TRADEABLE,376,True,,2023-10-12,,97.5,1,2,1.0
2023-10-10,Tue,TRADEABLE,376,True,,2023-10-12,,83.2,2,2,1.0
2023-10-11,Wed,TRADEABLE,376,True,,2023-10-12,,67.9,1,1,1.0
2023-10-12,Thu,TRADEABLE,376,True,,2023-10-12,,14.3,1,1,1.0
2023-10-13,Fri,TRADEABLE,376,True,,2023-10-19,,104.9,2,1,1.0
2023-10-16,Mon,TRADEABLE,376,True,,2023-10-19,,96.1,2,2,1.0
2023-10-17,Tue,TRADEABLE,376,True,,2023-10-19,,64.5,2,1,1.0
2023-10-18,Wed,TRADEABLE,376,True,,2023-10-19,,70.8,1,1,1.0
2023-10-19,Thu,TRADEABLE,375,True,,2023-10-19,,25.7,1,1,1.0
2023-10-20,Fri,TRADEABLE,375,True,,2023-10-26,,88.6,2,2,1.0
2023-10-23,Mon,TRADEABLE,376,True,,2023-10-26,,60.5,2,2,1.0
2023-10-24,Tue,NO_SPOT,0,,,2023-10-26,,,,,
2023-10-25,Wed,TRADEABLE,376,True,,2023-10-26,,58.1,2,1,1.0
2023-10-26,Thu,TRADEABLE,376,True,,2023-10-26,,21.3,1,1,1.0
2023-10-27,Fri,TRADEABLE,376,True,,2023-11-02,,126.0,2,2,1.0
2023-10-30,Mon,TRADEABLE,376,True,,2023-11-02,,116.1,2,2,1.0
2023-10-31,Tue,TRADEABLE,376,True,,2023-11-02,,79.3,1,2,1.0
2023-11-01,Wed,TRADEABLE,376,True,,2023-11-02,,63.8,1,1,1.0
2023-11-02,Thu,TRADEABLE,375,True,,2023-11-02,,9.8,1,1,1.0
2023-11-03,Fri,TRADEABLE,374,True,,2023-11-09,,102.0,2,2,1.0
2023-11-06,Mon,TRADEABLE,376,True,,2023-11-09,,80.8,2,2,1.0
2023-11-07,Tue,TRADEABLE,376,True,,2023-11-09,,63.5,1,1,1.0
2023-11-08,Wed,TRADEABLE,376,True,,2023-11-09,,51.0,1,1,1.0
2023-11-09,Thu,TRADEABLE,376,True,,2023-11-09,,21.8,1,1,1.0
2023-11-10,Fri,TRADEABLE,376,True,,2023-11-16,,90.6,2,1,1.0
2023-11-13,Mon,TRADEABLE,376,True,,2023-11-16,,65.8,1,2,1.0
2023-11-14,Tue,NO_SPOT,0,,,2023-11-16,,,,,
2023-11-15,Wed,TRADEABLE,376,True,,2023-11-16,,60.5,1,1,1.0
2023-11-16,Thu,TRADEABLE,375,True,,2023-11-16,,32.3,1,1,1.0
2023-11-17,Fri,TRADEABLE,375,True,,2023-11-23,,122.1,2,2,1.0
2023-11-20,Mon,TRADEABLE,376,True,,2023-11-23,,89.5,2,2,1.0
2023-11-21,Tue,TRADEABLE,376,True,,2023-11-23,,74.9,1,1,1.0
2023-11-22,Wed,TRADEABLE,376,True,,2023-11-23,,69.6,1,1,1.0
2023-11-23,Thu,TRADEABLE,376,True,,2023-11-23,,24.2,1,2,1.0
2023-11-24,Fri,TRADEABLE,376,True,,2023-11-30,,103.1,2,1,1.0
2023-11-27,Mon,NO_SPOT,0,,,2023-11-30,,,,,
2023-11-28,Tue,TRADEABLE,376,True,,2023-11-30,,97.6,1,2,1.0
2023-11-29,Wed,TRADEABLE,376,True,,2023-11-30,,69.1,2,1,1.0
2023-11-30,Thu,TRADEABLE,375,True,,2023-11-30,,34.2,1,1,1.0
2023-12-01,Fri,TRADEABLE,375,True,,2023-12-07,,132.7,2,2,1.0
2023-12-04,Mon,TRADEABLE,376,True,,2023-12-07,,119.5,2,1,1.0
2023-12-05,Tue,TRADEABLE,376,True,,2023-12-07,,95.5,2,1,1.0
2023-12-06,Wed,TRADEABLE,376,True,,2023-12-07,,72.5,1,1,1.0
2023-12-07,Thu,TRADEABLE,376,True,,2023-12-07,,19.9,1,1,1.0
2023-12-08,Fri,TRADEABLE,376,True,,2023-12-14,,131.1,2,2,1.0
2023-12-11,Mon,TRADEABLE,376,True,,2023-12-14,,95.5,2,1,1.0
2023-12-12,Tue,TRADEABLE,376,True,,2023-12-14,,91.9,2,2,1.0
2023-12-13,Wed,TRADEABLE,376,True,,2023-12-14,,77.8,1,2,1.0
2023-12-14,Thu,TRADEABLE,375,True,,2023-12-14,,20.7,1,2,1.0
2023-12-15,Fri,TRADEABLE,375,True,,2023-12-21,,141.2,2,2,1.0
2023-12-18,Mon,TRADEABLE,376,True,,2023-12-21,,107.2,2,1,1.0
2023-12-19,Tue,TRADEABLE,376,True,,2023-12-21,,93.6,2,2,1.0
2023-12-20,Wed,TRADEABLE,376,True,,2023-12-21,,81.3,2,1,1.0
2023-12-21,Thu,TRADEABLE,376,True,,2023-12-21,,41.3,1,2,1.0
2023-12-22,Fri,TRADEABLE,376,True,,2023-12-28,,166.4,2,2,1.0
2023-12-25,Mon,NO_SPOT,0,,,2023-12-28,,,,,
2023-12-26,Tue,TRADEABLE,376,True,,2023-12-28,,132.8,1,2,1.0
2023-12-27,Wed,TRADEABLE,376,True,,2023-12-28,,80.6,2,2,1.0
2023-12-28,Thu,TRADEABLE,375,True,,2023-12-28,,27.9,1,1,1.0
2023-12-29,Fri,TRADEABLE,375,True,,2024-01-04,,167.0,2,2,1.0
